Title,Budget,Gross US & Canada,Opening weekend Earnings,Opening weekend Release Date,Gross worldwide,Runtime,Sound mix,Aspect ratio,Color
The Shawshank Redemption,"$25,000,000","$28,767,189","$727,327",1994-09-25,"$29,322,669",2 hours 22 minutes,Dolby Digital,1.85 : 1,
The Godfather,"$6,000,000","$136,381,073","$302,393",1972-03-19,"$250,342,030",2 hours 55 minutes,"Mono(RCA Sound Recording, original release)Dolby Digital",1.85 : 1,Color
The Dark Knight,"$185,000,000","$534,987,076","$158,411,483",2008-07-20,"$1,008,497,140",2 hours 32 minutes,Dolby DigitalSDDSDTS,2.39 : 1,Color
The Godfather: Part II,"$13,000,000","$47,834,595","$171,417",2019-11-10,"$47,962,897",3 hours 22 minutes,Dolby Digital,1.85 : 1,Color
12 Angry Men,"$350,000",,,,"$2,667",1 hour 36 minutes,Mono,1.85 : 1,Black and White
Schindler's List,"$22,000,000","$96,898,818","$656,636",1993-12-19,"$322,161,245",3 hours 15 minutes,DTSDTS-Stereo,1.85 : 1,Black and WhiteColor
The Lord of the Rings: The Return of the King,"$94,000,000","$379,427,292","$72,629,713",2003-12-21,"$1,149,002,839",3 hours 21 minutes,DTS-ESDolby Digital EXSDDSDolby Atmos,2.39 : 1,Color
Pulp Fiction,"$8,000,000","$107,928,762","$9,311,882",1994-10-16,"$213,928,762",2 hours 34 minutes,Dolby DigitalDTS,2.39 : 1,Color
The Lord of the Rings: The Fellowship of the Ring,"$93,000,000","$316,115,420","$47,211,490",2001-12-23,"$884,041,698",2 hours 58 minutes,DTSSDDS,2.39 : 1,Color
"The Good, the Bad and the Ugly","$1,200,000","$25,100,000",,,"$25,259,657",2 hours 41 minutes,Mono,2.35 : 1,Color
Forrest Gump,"$55,000,000","$330,455,270","$24,450,602",1994-07-10,"$678,226,465",2 hours 22 minutes,Dolby SRSDDSDolby Atmos,2.39 : 1,ColorBlack and White
The Lord of the Rings: The Two Towers,"$94,000,000","$342,952,511","$62,007,528",2002-12-22,"$948,945,489",2 hours 59 minutes,DTS-ESDolby Digital EXSDDSDolby Atmos,2.39 : 1,Color
Fight Club,"$63,000,000","$37,030,102","$11,035,485",1999-10-17,"$101,320,107",2 hours 19 minutes,Dolby Digital,2.39 : 1,Color
Inception,"$160,000,000","$292,587,330","$62,785,337",2010-07-18,"$839,030,630",2 hours 28 minutes,Dolby DigitalDTSSDDS,2.39 : 1,Color
Star Wars: Episode V - The Empire Strikes Back,"$18,000,000","$292,753,960","$4,910,483",1980-05-25,"$538,375,067",2 hours 4 minutes,,2.39 : 1,Color
The Matrix,"$63,000,000","$172,076,928","$27,788,331",1999-04-04,"$467,625,567",2 hours 16 minutes,Dolby DigitalSDDSDolby Atmos,2.39 : 1,Color
GoodFellas,"$25,000,000","$46,909,721","$6,368,901",1990-09-23,"$47,049,784",2 hours 25 minutes,Dolby SR,1.85 : 1,Color
One Flew Over the Cuckoo's Nest,"$3,000,000","$108,981,275",,,"$109,115,366",2 hours 13 minutes,Mono,1.85 : 1,Color
Se7en,"$33,000,000","$100,125,643","$13,949,807",1995-09-24,"$327,333,559",2 hours 7 minutes,DTSDolby DigitalDTS 70 mm,2.39 : 1,Color
Interstellar,"$165,000,000","$188,020,017","$47,510,360",2014-11-09,"$747,516,808",2 hours 49 minutes,DatasatDolby DigitalIMAX 6-TrackDolby Surround 7.1,2.39 : 1,Color
It's a Wonderful Life,"$3,180,000","$1,483,643","$44,000",2020-12-20,"$9,767,242",2 hours 10 minutes,,1.37 : 1,Black and White
Shichinin no samurai,"¥125,000,000","$318,649","$15,942",2002-07-28,"$346,258",3 hours 27 minutes,Mono,1.37 : 1,Black and White
The Silence of the Lambs,"$19,000,000","$130,742,922","$13,766,814",1991-02-18,"$272,742,922",1 hour 58 minutes,Dolby SRDolby Stereo,1.85 : 1,Color
Saving Private Ryan,"$70,000,000","$217,049,603","$30,576,104",1998-07-26,"$482,351,251",2 hours 49 minutes,DTSDolby DigitalSDDSDolby AtmosDolby Digital EXDolby Stereo,1.85 : 1,Color
City of God,"R$3,300,000","$7,564,459","$88,292",2003-01-19,"$30,680,793",2 hours 10 minutes,Dolby DigitalSDDS,1.85 : 1,Color
Life Is Beautiful,"$20,000,000","$57,563,264","$118,920",1998-10-25,"$230,099,013",1 hour 56 minutes,Dolby Digital,1.85 : 1,Color
